time,xc,yc,theta_c,sx,sy
0.000000,3.135000,1.167000,1.570000,1.000000,1.000000
8.042248,3.779889,2.568606,1.265050,1.296666,2.328207
12.095045,4.023065,2.711710,1.274506,2.436621,2.693696
12.895269,4.135107,2.723984,1.267956,2.591303,2.828669
23.032307,3.045852,1.855365,1.735054,1.466515,2.579968
33.336857,3.795554,3.269856,1.327761,2.365908,2.951147
40.105073,3.734691,4.357266,1.284040,1.750386,1.943456
48.680718,3.596194,6.022988,1.250191,1.440960,1.340995
55.037065,3.194857,6.946089,1.730987,1.054077,1.087857
58.448966,3.135000,7.583000,1.570000,1.000000,1.000000
