time,x,y,theta
0.000000,5.000000,4.500000,0.000000
5.834871,5.506990,5.791341,1.353140
10.299282,5.720760,6.886780,1.013766
11.422869,5.834273,7.051367,0.944755
12.453807,5.954869,7.210898,0.910887
13.370762,6.079978,7.366970,0.885739
14.211844,6.208346,7.520464,0.867434
15.020662,6.339053,7.672073,0.854173
15.821623,6.471448,7.822298,0.844490
16.622781,6.605068,7.971502,0.837420
26.794494,8.239590,9.919532,1.004743
27.565740,8.340519,10.078494,0.990536
28.450019,8.499469,10.232139,0.990536
