time,x,y,theta
0.000000,5.000000,7.500000,0.000000
5.834871,4.922216,8.226074,-1.432544
10.299282,4.956336,8.632926,-2.304189
11.422869,5.070649,8.786543,-2.173335
12.453807,5.174947,8.957073,-2.087835
13.370762,5.262955,9.136503,-1.990413
14.211844,5.333572,9.323457,-1.897106
15.020662,5.387782,9.515821,-1.814852
15.821623,5.427416,9.711713,-1.744245
16.622781,5.454287,9.909752,-1.683104
26.794494,5.483928,10.618878,1.577421
27.565740,5.487017,10.431886,1.577547
28.450019,5.499470,10.234528,1.577547
