time,x,y,theta,v,omega
0.0000,5.0000,7.5000,0.0000,0.1250,0.1250
0.0500,5.0063,7.5000,0.0063,0.2500,0.2500
0.1000,5.0187,7.5001,0.0188,0.2500,0.3115
0.1500,5.0312,7.5003,0.0343,0.2500,0.2887
0.2000,5.0437,7.5007,0.0488,0.2500,0.2676
0.2500,5.0562,7.5014,0.0621,0.2500,0.2481
0.3000,5.0687,7.5021,0.0745,0.2500,0.2299
0.3500,5.0812,7.5031,0.0860,0.2500,0.2131
0.4000,5.0936,7.5041,0.0967,0.2500,0.1976
0.4500,5.1061,7.5053,0.1066,0.2500,0.1831
0.5000,5.1185,7.5067,0.1157,0.2500,0.1698
0.5500,5.1309,7.5081,0.1242,0.2500,0.1574
0.6000,5.1433,7.5097,0.1321,0.2500,0.1459
0.6500,5.1557,7.5113,0.1394,0.2500,0.1352
0.7000,5.1681,7.5130,0.1461,0.2500,0.1253
0.7500,5.1804,7.5149,0.1524,0.2500,0.1162
0.8000,5.1928,7.5168,0.1582,0.2500,0.1077
0.8500,5.2051,7.5187,0.1636,0.2500,0.0998
0.9000,5.2175,7.5208,0.1686,0.2500,0.0925
0.9500,5.2298,7.5229,0.1732,0.2500,0.0858
1.0000,5.2421,7.5250,0.1775,0.2500,0.0795
1.0500,5.2544,7.5272,0.1815,0.2500,0.0737
1.1000,5.2667,7.5295,0.1852,0.2500,0.0683
1.1500,5.2790,7.5318,0.1886,0.2500,0.0633
1.2000,5.2913,7.5341,0.1918,0.2500,0.0587
1.2500,5.3035,7.5365,0.1947,0.1250,0.1250
1.2500,5.3035,7.5365,0.1947,0.2500,0.1305
1.3000,5.3097,7.5377,0.2009,0.2500,0.1208
1.3500,5.3219,7.5402,0.2075,0.2500,0.1119
1.4000,5.3342,7.5428,0.2135,0.2500,0.1036
1.4500,5.3464,7.5454,0.2191,0.2500,0.0960
1.5000,5.3586,7.5482,0.2243,0.2500,0.0889
1.5500,5.3708,7.5509,0.2291,0.2500,0.0823
1.6000,5.3829,7.5538,0.2335,0.2500,0.0762
1.6500,5.3951,7.5567,0.2376,0.2500,0.0706
1.7000,5.4072,7.5596,0.2415,0.2500,0.0653
1.7500,5.4194,7.5626,0.2450,0.2500,0.0605
1.8000,5.4315,7.5656,0.2482,0.2500,0.0560
1.8500,5.4436,7.5687,0.2513,0.2500,0.0519
1.9000,5.4557,7.5718,0.2541,0.2500,0.0481
1.9500,5.4678,7.5750,0.2567,0.2500,0.0445
2.0000,5.4799,7.5781,0.2591,0.2500,0.0412
2.0500,5.4920,7.5813,0.2613,0.2500,0.0382
2.1000,5.5041,7.5846,0.2634,0.2500,0.0353
2.1500,5.5162,7.5878,0.2653,0.2500,0.0327
2.2000,5.5282,7.5911,0.2670,0.2500,0.0303
2.2500,5.5403,7.5944,0.2687,0.2500,0.0281
2.3000,5.5523,7.5977,0.2702,0.2500,0.0260
2.3500,5.5644,7.6010,0.2716,0.2500,0.0241
2.4000,5.5764,7.6044,0.2729,0.2500,0.0223
2.4500,5.5885,7.6078,0.2741,0.1250,0.0206
2.5000,5.6005,7.6111,0.2752,0.2500,0.0191
2.5000,5.6005,7.6111,0.2752,0.2500,0.0177
2.5500,5.6065,7.6128,0.2762,0.2500,0.0164
2.6000,5.6185,7.6163,0.2772,0.2500,0.0152
2.6500,5.6305,7.6197,0.2781,0.2500,0.0140
2.7000,5.6426,7.6231,0.2789,0.2500,0.0130
2.7500,5.6546,7.6265,0.2797,0.2500,0.0120
2.8000,5.6666,7.6300,0.2804,0.2500,0.0112
2.8500,5.6786,7.6335,0.2810,0.2500,0.0103
2.9000,5.6906,7.6369,0.2816,0.2500,0.0096
2.9500,5.7026,7.6404,0.2822,0.2500,0.0089
3.0000,5.7146,7.6439,0.2827,0.2500,0.0082
3.0500,5.7266,7.6474,0.2832,0.2500,0.0076
3.1000,5.7386,7.6509,0.2836,0.2500,0.0070
3.1500,5.7506,7.6544,0.2840,0.2500,0.0065
3.2000,5.7626,7.6579,0.2844,0.2500,0.0060
3.2500,5.7746,7.6614,0.2847,0.2500,0.0056
3.3000,5.7866,7.6649,0.2851,0.2500,0.0052
3.3500,5.7986,7.6684,0.2854,0.2500,0.0048
3.4000,5.8106,7.6719,0.2857,0.2500,0.0044
3.4500,5.8226,7.6754,0.2859,0.2500,0.0041
3.5000,5.8346,7.6790,0.2861,0.2500,0.0038
3.5500,5.8466,7.6825,0.2864,0.2500,0.0035
3.6000,5.8586,7.6860,0.2866,0.2500,0.0033
3.6500,5.8706,7.6895,0.2868,0.1250,0.0030
3.7000,5.8826,7.6931,0.2869,0.2500,0.0028
3.7500,5.8946,7.6966,0.2871,0.2500,0.0026
3.7500,5.8946,7.6966,0.2871,0.2500,0.0024
