time,xc,yc,theta_c,sx,sy
0.000000,3.135000,7.583000,-1.570000,1.000000,1.000000
0.693617,3.150852,7.335001,-1.511126,0.999670,1.001704
3.667565,3.471858,5.994843,-1.081489,1.824526,1.344449
4.207692,3.413154,5.752230,-1.053258,2.163076,1.454663
5.488545,3.219876,5.272378,-1.193597,2.999998,1.708631
6.286506,3.192402,5.078668,-1.132689,2.600003,1.785576
7.085865,3.204300,4.887107,-1.050844,2.200012,1.787185
7.885016,3.213613,4.692982,-0.964720,1.800236,1.781361
8.684943,3.238561,4.445580,-0.881042,1.594185,1.795112
9.484766,3.251940,4.197589,-0.814086,1.425433,1.809051
10.284914,3.265744,3.949623,-0.784185,1.385580,1.796709
11.084861,3.262740,3.729469,-0.792738,1.364998,1.747772
11.884655,3.246185,3.537783,-0.834931,1.346133,1.661526
12.684392,3.224181,3.353860,-0.892275,1.328867,1.568517
19.512316,3.165188,1.747774,-1.462748,0.997868,1.030065
19.659775,3.141049,1.749553,-1.546902,0.999657,1.017253
19.710170,3.135000,1.750000,-1.570000,1.000000,1.000000
