time,x,y,theta
0.000000,3.135464,1.750000,1.570000
5.220566,3.464665,2.850334,2.385899
6.014595,3.374512,2.998807,1.942354
14.448649,3.927502,4.769980,-0.620199
15.248190,3.814908,4.894250,-0.957162
16.048130,3.734428,5.049973,-1.174281
16.848086,3.681737,5.217615,-1.320908
17.648061,3.648876,5.390406,-1.420104
18.448084,3.629738,5.565305,-1.487200
19.248149,3.619894,5.740985,-1.531874
20.048236,3.616121,5.916900,-1.560309
20.848324,3.616020,6.092852,-1.576553
21.648401,3.617753,6.268791,-1.583371
22.448460,3.619885,6.444719,-1.582764
23.248496,3.621270,6.620604,-1.576203
24.048514,3.619684,6.791303,-1.552352
24.848521,3.612566,6.947784,-1.508075
25.648519,3.600176,7.090329,-1.468976
26.448508,3.583843,7.225944,-1.439756
27.248441,3.558696,7.377018,-1.384676
28.048324,3.523564,7.526860,-1.313324
28.848192,3.478823,7.669132,-1.237397
29.648067,3.425782,7.802318,-1.164160
30.447968,3.366375,7.926042,-1.098077
31.247890,3.302717,8.040470,-1.041445
32.047861,3.237044,8.145793,-0.995330
32.723489,3.135464,8.166000,-0.995330
