time_s,x,y,yaw_rad
1776918457.143363,2.565000,0.875000,1.570118
1776918457.649544,2.565000,0.875000,1.570109
1776918457.650985,2.565000,0.875000,1.570137
1776918457.652387,2.565000,0.875000,1.570195
1776918457.654099,2.565000,0.875000,1.570128
1776918457.655592,2.565000,0.875000,1.570151
1776918458.234160,2.565000,0.875000,1.570166
1776918458.235786,2.565000,0.875000,1.570191
1776918458.237219,2.565000,0.875000,1.570113
1776918459.433808,2.565000,0.875000,1.570211
1776918459.435131,2.565000,0.875000,1.570075
1776918459.436384,2.565000,0.875000,1.570251
1776918460.265342,2.565000,0.875000,1.570214
1776918460.287913,2.565000,0.874975,1.570200
1776918460.290212,2.565000,0.875000,1.570199
1776918460.292538,2.565000,0.875000,1.570205
1776918460.294228,2.565000,0.875000,1.570186
1776918460.313845,2.565000,0.875000,1.570227
1776918460.315261,2.565000,0.875000,1.570203
1776918460.316599,2.565000,0.875000,1.570181
1776918460.317966,2.565000,0.875000,1.570173
1776918460.319601,2.565000,0.874975,1.570233
1776918460.321011,2.565000,0.875000,1.570198
1776918460.322613,2.565000,0.875000,1.570229
1776918460.324089,2.565000,0.875000,1.570213
1776918460.325275,2.565000,0.875000,1.570197
1776918460.427870,2.565000,0.875000,1.570249
1776918460.429905,2.565000,0.875000,1.570265
1776918460.432075,2.565000,0.875000,1.570138
1776918460.433827,2.565000,0.875000,1.570182
1776918460.435267,2.565000,0.875000,1.570242
1776918460.436549,2.565000,0.874975,1.570164
1776918460.437823,2.565000,0.875000,1.570209
1776918460.446527,2.565000,0.875000,1.570172
1776918462.254877,2.565000,0.875000,1.570164
1776918462.256156,2.565000,0.875000,1.570205
1776918462.257390,2.565000,0.875000,1.570134
1776918463.633629,2.565000,0.875000,1.570224
1776918463.635118,2.565000,0.875000,1.570189
1776918465.565315,2.565000,0.875000,1.570275
1776918465.806265,2.565000,0.875000,1.570186
1776918465.807697,2.565000,0.875000,1.570241
1776918465.809151,2.565000,0.875000,1.570186
1776918465.811121,2.565000,0.875000,1.570290
1776918465.812201,2.565000,0.875000,1.570254
1776918465.813396,2.565000,0.875000,1.570204
1776918466.392147,2.565000,0.875000,1.570254
1776918466.393477,2.565000,0.875000,1.570260
1776918466.394689,2.565000,0.875000,1.570256
1776918467.133460,2.565000,0.875000,1.570148
1776918467.324136,2.565000,0.875000,1.570274
1776918467.653362,2.565000,0.874975,1.570242
1776918467.902699,2.565000,0.875000,1.570226
1776918467.904456,2.565000,0.875000,1.570246
1776918467.906104,2.565000,0.875000,1.570192
1776918468.551913,2.565000,0.875000,1.570222
1776918468.553594,2.565000,0.875000,1.570227
1776918468.555385,2.565000,0.875000,1.570216
1776918468.557068,2.565000,0.875000,1.570283
1776918468.558714,2.565000,0.874975,1.570232
1776918468.560686,2.565000,0.875000,1.570244
1776918469.093912,2.565000,0.875000,1.570267
1776918469.095337,2.565000,0.875000,1.570248
1776918469.701596,2.565000,0.875000,1.570260
1776918469.704077,2.565000,0.875000,1.570208
1776918469.951099,2.565000,0.875000,1.570249
1776918469.952553,2.565000,0.875000,1.570275
1776918471.226181,2.565000,0.875000,1.570268
1776918471.227898,2.565000,0.875000,1.570243
1776918471.229425,2.565000,0.875000,1.570244
1776918471.230903,2.565000,0.875000,1.570242
1776918471.232378,2.565000,0.875000,1.570213
1776918471.233654,2.565000,0.875000,1.570186
1776918472.027138,2.565000,0.875000,1.570264
1776918472.029516,2.565000,0.875000,1.570244
1776918472.032083,2.565000,0.875000,1.570275
1776918472.034082,2.565000,0.874975,1.570283
1776918472.035951,2.565000,0.875000,1.570321
1776918472.037658,2.565000,0.875000,1.570320
1776918472.039578,2.565000,0.875000,1.570326
1776918472.041371,2.565000,0.875000,1.570314
1776918472.271872,2.565000,0.875000,1.570248
1776918472.273229,2.565000,0.875000,1.570263
1776918472.274306,2.565000,0.875000,1.570245
1776918472.275516,2.565000,0.875000,1.570270
1776918472.276512,2.565000,0.875000,1.570280
1776918472.277511,2.565000,0.875000,1.570310
1776918472.278371,2.565000,0.875000,1.570243
1776918472.279407,2.565000,0.875000,1.570300
1776918472.280215,2.565000,0.875000,1.570343
1776918472.304572,2.565000,0.875000,1.570341
1776918472.349258,2.565000,0.875000,1.570302
1776918472.405135,2.565000,0.875000,1.570246
1776918472.555943,2.565000,0.875000,1.570265
1776918472.557613,2.565000,0.875000,1.570256
1776918472.575507,2.565000,0.875000,1.570250
1776918472.673642,2.565000,0.875000,1.570329
1776918472.674529,2.565000,0.875000,1.570229
1776918472.695945,2.565000,0.875000,1.570244
1776918472.770746,2.565000,0.875000,1.570313
1776918472.796515,2.565000,0.875000,1.570312
1776918472.891751,2.565000,0.875000,1.570341
1776918472.896471,2.565000,0.875000,1.570360
1776918472.949192,2.565000,0.875000,1.570317
1776918472.996347,2.565000,0.875000,1.570259
1776918473.049332,2.565000,0.875000,1.570278
1776918473.096667,2.565000,0.875000,1.570317
1776918473.170871,2.565000,0.875000,1.570291
1776918473.196189,2.565000,0.875000,1.570324
1776918473.274323,2.565000,0.875000,1.570287
1776918473.298944,2.565000,0.875000,1.570247
1776918473.398551,2.565000,0.875000,1.570354
1776918473.400906,2.565000,0.875000,1.570342
1776918473.448487,2.565000,0.875000,1.570352
1776918473.500362,2.565000,0.874975,1.570309
1776918473.550699,2.565000,0.875000,1.570312
1776918473.677546,2.565000,0.875000,1.570248
1776918473.679558,2.565000,0.875000,1.570248
1776918473.697945,2.565000,0.875000,1.570283
1776918473.749663,2.565000,0.875000,1.570260
1776918473.798612,2.565000,0.875000,1.570267
1776918473.869420,2.565000,0.875000,1.570394
1776918473.899190,2.565000,0.875000,1.570358
1776918473.947289,2.565000,0.875000,1.570323
1776918474.325440,2.565000,0.875000,1.570279
1776918474.327354,2.565000,0.875000,1.570387
1776918474.329364,2.565000,0.875000,1.570351
1776918474.331475,2.565000,0.875000,1.570321
1776918474.333013,2.565000,0.875000,1.570344
1776918474.334414,2.565000,0.875000,1.570269
1776918474.335651,2.565000,0.875000,1.570303
1776918474.350787,2.565000,0.874975,1.570335
1776918474.397178,2.565000,0.875000,1.570343
1776918474.452857,2.565000,0.875000,1.570336
1776918474.496850,2.565000,0.875000,1.570318
1776918474.554294,2.565000,0.875000,1.570359
1776918474.596031,2.565000,0.875000,1.570317
1776918474.650110,2.565000,0.875000,1.570322
1776918474.702477,2.565000,0.875000,1.570251
1776918474.745308,2.565000,0.875000,1.570363
1776918474.926317,2.565000,0.875000,1.570325
1776918474.927940,2.565000,0.875000,1.570370
1776918474.975044,2.565000,0.875000,1.570386
1776918474.976626,2.565000,0.875000,1.570320
1776918475.053287,2.565000,0.875000,1.570279
1776918475.324514,2.565000,0.875000,1.570319
