time_s,linear_x,angular_z
1776925645.137948,0.001994,-0.208994
1776925645.156445,0.004181,-0.217562
1776925645.177137,0.006740,-0.226622
1776925645.196665,0.009223,-0.234620
1776925645.216805,0.011853,-0.242315
1776925645.236953,0.014553,-0.249456
1776925645.257134,0.017326,-0.256060
1776925645.277149,0.020143,-0.262072
1776925645.297151,0.023025,-0.267554
1776925645.316997,0.025949,-0.272481
1776925645.336868,0.028941,-0.276910
1776925645.356538,0.031965,-0.280803
1776925645.376900,0.035160,-0.284328
1776925645.397161,0.038404,-0.287333
1776925645.417470,0.041720,-0.289849
1776925645.436584,0.044900,-0.291771
1776925645.457260,0.048402,-0.293371
1776925645.476982,0.051802,-0.294441
1776925645.497026,0.055318,-0.295080
1776925645.517083,0.058896,-0.295275
1776925645.536515,0.062456,-0.295051
1776925645.556564,0.066148,-0.294394
1776925645.576476,0.069871,-0.293324
1776925645.597250,0.073816,-0.291775
1776925645.616613,0.077547,-0.289939
1776925645.636327,0.081400,-0.287690
1776925645.656317,0.085361,-0.285026
1776925645.676538,0.089423,-0.281946
1776925645.696393,0.093465,-0.278553
1776925645.716747,0.097663,-0.274704
1776925645.736869,0.101866,-0.270539
1776925645.756688,0.106057,-0.266093
1776925645.776987,0.110403,-0.261196
1776925645.796256,0.114575,-0.256234
1776925645.816897,0.119097,-0.251092
1776925645.836379,0.123413,-0.254002
1776925645.856740,0.127974,-0.257134
1776925645.876793,0.132514,-0.260310
1776925645.896722,0.137074,-0.263556
1776925645.916609,0.141672,-0.266882
1776925645.936106,0.146223,-0.270233
1776925645.957007,0.151151,-0.273920
1776925645.976255,0.155733,-0.277404
1776925645.996486,0.160593,-0.281156
1776925646.016822,0.165524,-0.285021
1776925646.037288,0.170532,-0.289007
1776925646.056737,0.175333,-0.292882
1776925646.076797,0.180327,-0.296970
1776925646.097023,0.185405,-0.301184
1776925646.116857,0.190426,-0.305407
1776925646.136378,0.195406,-0.309651
1776925646.157825,0.200922,-0.314414
1776925646.176358,0.205723,-0.318617
1776925646.196688,0.211030,-0.323315
1776925646.216586,0.216263,-0.328004
1776925646.236780,0.220000,-0.332855
1776925646.256850,0.220000,-0.337767
1776925646.276593,0.220000,-0.342689
1776925646.296876,0.220000,-0.347838
1776925646.316786,0.220000,-0.352983
1776925646.336758,0.220000,-0.358233
1776925646.357013,0.220000,-0.363651
1776925646.376998,0.220000,-0.369086
1776925646.396632,0.220000,-0.374514
1776925646.417475,0.220000,-0.380371
1776925646.436553,0.220000,-0.385817
1776925646.456466,0.220000,-0.391589
1776925646.476745,0.220000,-0.397557
1776925646.497043,0.220000,-0.403623
1776925646.516918,0.220000,-0.409650
1776925646.536556,0.220000,-0.415692
1776925646.556626,0.220000,-0.421954
1776925646.576835,0.220000,-0.428349
1776925646.596706,0.220000,-0.434725
1776925646.617201,0.220000,-0.441388
1776925646.636917,0.220000,-0.447887
1776925646.656606,0.220000,-0.454460
1776925646.676355,0.220000,-0.461138
1776925646.696625,0.220000,-0.468079
1776925646.717118,0.220000,-0.475185
1776925646.736445,0.220000,-0.481969
1776925646.756860,0.220000,-0.489221
1776925646.776263,0.220000,-0.496194
1776925646.796640,0.220000,-0.503603
1776925646.816508,0.220000,-0.510909
1776925646.836945,0.220000,-0.518510
1776925646.857638,0.220000,-0.526294
1776925646.877106,0.220000,-0.533697
1776925646.897357,0.220000,-0.541479
1776925646.917455,0.220000,-0.549285
1776925646.937153,0.220000,-0.557014
1776925646.956598,0.220000,-0.564719
1776925646.977093,0.220000,-0.572922
1776925646.996511,0.220000,-0.580769
1776925647.017008,0.220000,-0.589132
1776925647.036796,0.220000,-0.597283
1776925647.057432,0.220000,-0.605863
1776925647.077284,0.220000,-0.614193
1776925647.097454,0.220000,-0.622734
1776925647.116820,0.220000,-0.631005
1776925647.137448,0.220000,-0.639891
1776925647.156673,0.220000,-0.648244
1776925647.176411,0.220000,-0.656889
1776925647.198040,0.220000,-0.666443
1776925647.217973,0.220000,-0.675322
1776925647.236725,0.220000,-0.683738
1776925647.256331,0.220000,-0.692604
1776925647.276963,0.220000,-0.702005
1776925647.297126,0.220000,-0.711262
1776925647.316873,0.220000,-0.720395
1776925647.337249,0.220000,-0.729886
1776925647.357827,0.220000,-0.739542
1776925647.377344,0.220000,-0.739850
1776925647.396993,0.220000,-0.749041
1776925647.416720,0.220000,-0.758329
1776925647.437147,0.220000,-0.768010
