time_s,x,y,yaw_rad
1776732016.705498,5.130000,4.375000,3.140135
1776732016.707286,5.130000,4.375000,3.140113
1776732016.708829,5.130000,4.375000,3.140131
1776732016.710006,5.130000,4.375000,3.140126
1776732016.835600,5.130000,4.375000,3.140113
1776732017.284252,5.130000,4.375000,3.140123
1776732017.286554,5.130000,4.375000,3.140114
1776732017.744327,5.130000,4.375000,3.140095
1776732017.748413,5.130000,4.375000,3.140120
1776732017.750112,5.130000,4.375000,3.140110
1776732018.317122,5.130000,4.375000,3.140104
1776732018.522245,5.130000,4.375000,3.140112
1776732018.524106,5.130000,4.375000,3.140112
1776732018.525515,5.130000,4.375000,3.140122
1776732018.526934,5.130000,4.375000,3.140108
1776732018.812224,5.130000,4.375000,3.140106
1776732018.813272,5.130000,4.375000,3.140109
1776732018.814265,5.130000,4.375000,3.140122
1776732018.815264,5.130000,4.375000,3.140114
1776732018.816111,5.130000,4.375000,3.140120
1776732018.816933,5.130000,4.375000,3.140108
1776732019.005915,5.130025,4.375000,3.140104
1776732019.007843,5.130000,4.375000,3.140107
1776732019.009877,5.130000,4.375000,3.140098
1776732019.011422,5.130000,4.375000,3.140107
1776732019.342409,5.130000,4.375000,3.140110
1776732019.344223,5.130000,4.375000,3.140112
1776732019.346031,5.130000,4.375000,3.140110
1776732019.347304,5.130000,4.375000,3.140109
1776732020.082466,5.130000,4.375000,3.140121
1776732020.084247,5.130000,4.375000,3.140113
1776732020.085771,5.130000,4.375000,3.140107
1776732020.087318,5.130000,4.375000,3.140112
1776732020.088713,5.130000,4.375000,3.140097
1776732020.089873,5.130000,4.375000,3.140088
1776732020.647254,5.130000,4.375000,3.140111
1776732020.841853,5.130000,4.375000,3.140110
1776732020.842886,5.130000,4.375000,3.140106
1776732020.843989,5.130000,4.375000,3.140109
1776732020.845011,5.130000,4.375000,3.140101
1776732020.845873,5.130000,4.375000,3.140093
1776732020.846636,5.130000,4.375000,3.140099
1776732020.847386,5.130000,4.375000,3.140098
1776732020.848159,5.130000,4.375000,3.140100
1776732020.953110,5.130000,4.375000,3.140098
1776732020.954487,5.130000,4.375000,3.140106
1776732020.956155,5.130000,4.375000,3.140106
1776732020.957470,5.130000,4.375000,3.140099
1776732021.203545,5.130000,4.375000,3.140110
1776732021.205362,5.130000,4.375000,3.140110
1776732021.457588,5.130000,4.375000,3.140097
1776732021.458548,5.130000,4.375000,3.140089
1776732021.459619,5.130000,4.375000,3.140099
1776732021.460639,5.130000,4.375000,3.140094
1776732021.782959,5.130000,4.375000,3.140078
1776732021.851628,5.130000,4.375000,3.140109
1776732021.943376,5.130000,4.375000,3.140089
1776732021.944889,5.130000,4.375000,3.140109
1776732022.095624,5.130000,4.375000,3.140087
1776732022.096850,5.130000,4.375000,3.140101
1776732022.097825,5.130000,4.375000,3.140098
1776732022.098708,5.130000,4.375000,3.140096
1776732022.099545,5.130000,4.375000,3.140104
1776732022.100313,5.130000,4.375000,3.140099
1776732022.101035,5.130000,4.375000,3.140104
1776732022.101854,5.130000,4.375000,3.140099
1776732023.071721,5.130000,4.375000,3.140092
1776732023.072510,5.130000,4.375000,3.140081
1776732023.622964,5.130000,4.375000,3.140079
1776732023.765370,5.130000,4.375000,3.140111
1776732024.093245,5.130000,4.375000,3.140094
1776732024.194962,5.130000,4.375000,3.140103
1776732024.196292,5.130000,4.375000,3.140109
1776732024.197688,5.130000,4.375000,3.140106
1776732024.199003,5.130000,4.375000,3.140105
1776732024.415592,5.130000,4.375000,3.140113
1776732024.416991,5.130000,4.375000,3.140114
1776732024.418394,5.130000,4.375000,3.140102
1776732024.420027,5.130000,4.375000,3.140091
1776732024.421465,5.130000,4.375000,3.140101
1776732024.422850,5.130000,4.375000,3.140094
1776732024.899483,5.130000,4.375000,3.140107
1776732024.900710,5.130000,4.375000,3.140094
1776732024.983977,5.130000,4.375000,3.140108
1776732024.987157,5.130000,4.375000,3.140106
1776732024.988735,5.130000,4.375000,3.140108
1776732024.990463,5.130000,4.375000,3.140109
1776732024.991678,5.130000,4.375000,3.140092
1776732025.632766,5.130000,4.375000,3.140095
1776732026.153689,5.130000,4.375000,3.140085
1776732026.154642,5.130000,4.375000,3.140107
1776732026.155508,5.130000,4.375000,3.140112
1776732026.156234,5.130000,4.375000,3.140093
1776732026.156964,5.130000,4.375000,3.140103
1776732026.157625,5.130000,4.375000,3.140101
1776732026.442393,5.130000,4.375000,3.140096
1776732026.478433,5.130000,4.375000,3.140088
1776732026.479435,5.130000,4.375000,3.140091
1776732026.480380,5.130000,4.375000,3.140090
1776732026.481213,5.130000,4.375000,3.140092
1776732026.684004,5.130000,4.375000,3.140087
1776732026.686925,5.130000,4.375000,3.140077
1776732026.688777,5.130000,4.375000,3.140101
1776732026.690446,5.130000,4.375000,3.140126
1776732026.691827,5.130000,4.375000,3.140101
1776732026.693292,5.130000,4.375000,3.140103
1776732026.694535,5.130000,4.375000,3.140115
1776732026.837377,5.130000,4.375000,3.140095
1776732026.838442,5.130000,4.375000,3.140088
1776732026.839477,5.130000,4.375000,3.140095
1776732026.840433,5.130000,4.375000,3.140087
1776732027.005897,5.130000,4.375000,3.140097
1776732027.007306,5.130000,4.375000,3.140100
1776732027.008573,5.130000,4.375000,3.140094
1776732027.513361,5.130000,4.375000,3.140074
1776732027.515459,5.130000,4.375000,3.140098
1776732027.516252,5.130000,4.375000,3.140104
1776732027.516991,5.130000,4.375000,3.140101
1776732027.869560,5.130000,4.375000,3.140086
1776732027.872229,5.130000,4.375000,3.140095
1776732027.874182,5.130000,4.375000,3.140084
1776732027.875622,5.130000,4.375000,3.140081
1776732027.877099,5.130000,4.375000,3.140087
1776732028.492940,5.129975,4.375000,3.134476
1776732028.744245,5.131163,4.374944,3.068081
1776732028.755363,5.138195,4.373894,2.949000
1776732029.345933,5.173024,4.362383,2.699961
1776732030.062989,5.230791,4.323734,2.410283
1776732030.571934,5.299362,4.228622,1.975440
1776732030.573066,5.301653,4.222914,1.929543
1776732031.097927,5.309648,4.195690,1.658045
1776732031.099011,5.309710,4.194831,1.627919
1776732031.100005,5.309740,4.192149,1.528380
1776732031.732974,5.312724,4.209810,1.422268
1776732032.182958,5.317301,4.238427,1.401520
1776732032.185236,5.321284,4.261112,1.393193
1776732032.259933,5.324311,4.278287,1.401241
1776732032.648331,5.329455,4.311348,1.433071
1776732032.724942,5.331804,4.329088,1.447764
1776732033.351997,5.335169,4.359197,1.472137
1776732033.353700,5.336889,4.379168,1.501684
1776732033.355157,5.337298,4.386472,1.528100
1776732033.356217,5.337642,4.396894,1.547401
1776732033.357258,5.337656,4.411599,1.595347
