time_s,x,y,yaw_rad
1776913601.563333,3.135000,1.750000,1.570246
1776913602.558049,3.135000,1.750000,1.570266
1776913602.560309,3.135000,1.750000,1.570231
1776913602.562464,3.135000,1.750000,1.570250
1776913602.566568,3.135000,1.750000,1.570225
1776913602.568444,3.135000,1.750000,1.570235
1776913602.570299,3.135000,1.750000,1.570224
1776913603.130470,3.135000,1.750000,1.570211
1776913603.132033,3.135000,1.750000,1.570216
1776913604.224526,3.135000,1.750000,1.570210
1776913604.225631,3.135000,1.750000,1.570198
1776913604.226589,3.135000,1.750000,1.570210
1776913604.227464,3.135000,1.750000,1.570204
1776913604.670093,3.135000,1.750000,1.570197
1776913604.671453,3.135000,1.750000,1.570218
1776913604.672927,3.135000,1.750000,1.570224
1776913605.377246,3.135000,1.750000,1.570224
1776913605.379198,3.135000,1.750000,1.570236
1776913605.380737,3.135000,1.750000,1.570187
1776913605.820354,3.135000,1.750000,1.570190
1776913606.917905,3.135000,1.750000,1.570196
1776913606.919906,3.135000,1.750000,1.570196
1776913606.921445,3.135000,1.750000,1.570219
1776913606.923267,3.135000,1.750000,1.570215
1776913606.924916,3.135000,1.750000,1.570219
1776913607.276415,3.135000,1.750000,1.570196
1776913607.278737,3.135000,1.750000,1.570211
1776913607.280512,3.135000,1.750000,1.570215
1776913607.718455,3.135000,1.750000,1.570187
1776913607.720350,3.135000,1.750000,1.570210
1776913608.479083,3.135000,1.750000,1.570209
1776913608.481754,3.135000,1.750000,1.570182
1776913608.483640,3.135000,1.750000,1.570208
1776913608.838979,3.135000,1.750000,1.570202
1776913608.981352,3.135000,1.750000,1.570164
1776913608.982956,3.135000,1.750000,1.570157
1776913608.984507,3.135000,1.750000,1.570140
1776913609.330114,3.135000,1.750000,1.570183
1776913609.580678,3.135000,1.750000,1.570165
1776913610.688117,3.135000,1.750000,1.570153
1776913610.689516,3.135000,1.750000,1.570159
1776913610.691013,3.135000,1.750000,1.570153
1776913610.692100,3.135000,1.750000,1.570149
1776913610.693269,3.135000,1.750000,1.570152
1776913610.694528,3.135000,1.750000,1.570140
1776913610.785099,3.135000,1.750000,1.570136
1776913610.965478,3.135000,1.750000,1.570107
1776913611.364343,3.135000,1.750000,1.570132
1776913611.365683,3.135000,1.750000,1.570150
1776913611.366980,3.135000,1.750000,1.570107
1776913611.368194,3.135000,1.750000,1.570143
1776913611.369291,3.135000,1.750000,1.570139
1776913611.769686,3.135000,1.750000,1.570118
1776913612.076174,3.135000,1.750000,1.570147
1776913612.078310,3.135000,1.750000,1.570115
1776913612.080127,3.135000,1.750000,1.570120
1776913612.083042,3.135000,1.750000,1.570124
1776913612.084364,3.135000,1.750000,1.570113
1776913612.697795,3.135000,1.750000,1.570124
1776913612.699586,3.135000,1.750000,1.570151
1776913612.701018,3.135000,1.750000,1.570132
1776913612.984966,3.135000,1.750000,1.570127
1776913612.986175,3.135000,1.750000,1.570158
1776913612.987364,3.135000,1.750000,1.570130
1776913612.988543,3.135000,1.750000,1.570113
1776913612.989697,3.135000,1.750000,1.570134
1776913612.990808,3.135000,1.750000,1.570107
1776913613.498100,3.135056,1.753492,1.548536
1776913614.025918,3.136426,1.781297,1.496398
1776913614.027164,3.137340,1.791609,1.469905
1776913614.118743,3.141675,1.826979,1.433090
1776913614.464709,3.149527,1.876242,1.393728
1776913614.541890,3.152526,1.892289,1.377253
1776913614.543804,3.154875,1.904054,1.370246
1776913614.544975,3.156568,1.912233,1.362981
1776913614.546039,3.158888,1.923178,1.360983
1776913614.546975,3.160575,1.930996,1.355502
1776913614.547882,3.163134,1.942458,1.346794
1776913614.548694,3.164828,1.949834,1.343126
1776913614.637812,3.166615,1.957396,1.334340
1776913614.639944,3.169563,1.969364,1.324342
1776913614.641437,3.171426,1.976647,1.316244
1776913614.643014,3.173532,1.984520,1.302672
1776913614.644470,3.176780,1.996043,1.289462
1776913615.078784,3.182504,2.014752,1.264030
1776913615.080853,3.184812,2.021853,1.249144
1776913615.082797,3.187300,2.029214,1.240682
1776913615.084522,3.189911,2.036640,1.224672
1776913615.299547,3.193965,2.047663,1.212002
1776913615.301544,3.196716,2.054848,1.198234
1776913615.303684,3.204236,2.073047,1.166516
1776913615.305996,3.207375,2.080266,1.154606
1776913615.307502,3.210654,2.087533,1.139306
1776913615.309150,3.215561,2.098064,1.130193
1776913615.310884,3.218858,2.104960,1.119401
1776913615.312378,3.222189,2.111699,1.103974
1776913615.936178,3.230917,2.128584,1.079079
1776913616.024441,3.252073,2.164521,0.992299
1776913616.025653,3.258511,2.174221,0.977309
1776913616.026867,3.262702,2.180309,0.958455
1776913616.028037,3.269254,2.189532,0.947850
1776913616.029039,3.273772,2.195667,0.924331
1776913616.029997,3.280738,2.204742,0.907812
1776913616.103992,3.285183,2.210359,0.895044
1776913616.105242,3.290070,2.216367,0.880713
1776913616.106392,3.294972,2.222199,0.862873
1776913616.107682,3.302284,2.230600,0.846307
1776913616.109135,3.307370,2.236272,0.833511
1776913616.130475,3.312339,2.241640,0.814402
