time_s,x,y,yaw_rad
1776732876.702576,5.177561,4.382697,-2.817411
1776732876.703724,5.182080,4.384341,-2.768120
1776732876.803189,5.189130,4.387230,-2.737107
1776732876.804584,5.193386,4.389181,-2.686500
1776732876.805835,5.200284,4.392703,-2.652543
1776732876.807150,5.205020,4.395332,-2.617349
1776732876.808310,5.209617,4.398148,-2.566700
1776732876.809469,5.216111,4.402507,-2.533926
1776732876.810601,5.220235,4.405486,-2.498015
1776732876.812201,5.224524,4.408876,-2.447807
1776732876.814254,5.230408,4.413951,-2.411955
1776732876.861688,5.234377,4.417637,-2.374129
1776732876.996559,5.238219,4.421527,-2.326013
1776732876.999479,5.243260,4.427069,-2.291571
1776732877.001250,5.246664,4.431052,-2.264471
1776732877.102836,5.252428,4.438044,-2.255993
1776732877.106249,5.259058,4.446158,-2.255866
1776732877.129373,5.269453,4.458877,-2.256132
1776732877.197253,5.275623,4.466419,-2.256692
1776732877.234724,5.285983,4.479069,-2.257243
1776732877.297005,5.292531,4.487054,-2.258081
1776732877.337615,5.299473,4.495502,-2.259287
1776732877.384141,5.306411,4.503921,-2.260805
1776732877.428481,5.316939,4.516662,-2.261915
1776732877.477804,5.323509,4.524596,-2.262873
1776732877.536451,5.330458,4.532973,-2.263828
1776732877.578362,5.340846,4.545468,-2.264901
1776732877.655408,5.347048,4.552918,-2.265218
1776732877.736855,5.354053,4.561314,-2.266880
1776732877.738484,5.364493,4.573799,-2.267629
1776732877.850369,5.370768,4.581288,-2.268825
1776732877.852440,5.380859,4.593305,-2.269763
1776732877.992757,5.387571,4.601286,-2.270331
1776732877.994859,5.394161,4.609104,-2.272024
1776732877.999807,5.404597,4.621461,-2.272202
1776732878.075867,5.410907,4.628919,-2.273767
1776732878.080438,5.420711,4.640484,-2.274137
1776732878.148997,5.427367,4.648314,-2.276586
1776732878.188292,5.437303,4.659965,-2.277233
1776732878.228694,5.444063,4.667872,-2.279141
1776732878.288725,5.451136,4.676111,-2.281090
1776732878.334828,5.461459,4.688097,-2.282568
1776732878.454593,5.468542,4.696295,-2.284121
1776732878.455306,5.475617,4.704464,-2.284970
1776732878.494799,5.482802,4.712740,-2.286566
1776732878.529378,5.493522,4.725052,-2.287759
1776732878.579931,5.500456,4.733010,-2.287328
1776732878.624888,5.506850,4.740363,-2.285820
1776732878.685482,5.512452,4.746829,-2.283570
1776732878.728544,5.519516,4.755009,-2.282664
1776732878.778558,5.523510,4.759653,-2.279538
1776732878.837244,5.527031,4.763769,-2.277309
1776732878.883535,5.529934,4.767181,-2.274473
1776732878.927411,5.533240,4.771081,-2.273102
1776732878.980187,5.535068,4.773247,-2.270579
1776732879.057779,5.536469,4.774914,-2.268941
1776732879.080509,5.537769,4.776466,-2.267168
1776732879.135592,5.538158,4.776932,-2.265296
1776732879.180597,5.538304,4.777108,-2.263101
1776732879.234686,5.538320,4.777127,-2.261706
1776732879.282048,5.538014,4.776756,-2.259301
1776732879.327483,5.537404,4.776013,-2.256802
1776732879.390117,5.536395,4.774777,-2.253827
1776732879.433108,5.535198,4.773304,-2.252102
1776732879.481100,5.532937,4.770511,-2.250812
1776732879.532649,5.531125,4.768265,-2.248744
1776732879.589661,5.529175,4.765838,-2.246659
1776732879.633757,5.525916,4.761768,-2.245173
1776732879.678013,5.523547,4.758801,-2.243874
1776732879.725983,5.520964,4.755552,-2.241203
1776732879.786746,5.518182,4.752040,-2.240400
1776732879.828284,5.513756,4.746440,-2.238784
1776732879.878245,5.510498,4.742305,-2.237473
1776732879.926190,5.507231,4.738144,-2.235186
1776732879.988029,5.503709,4.733637,-2.233323
1776732880.027574,5.498390,4.726808,-2.231752
1776732880.076138,5.494636,4.721968,-2.228918
1776732880.137462,5.490847,4.717059,-2.227428
1776732880.180969,5.485012,4.709477,-2.226087
1776732880.229662,5.481099,4.704376,-2.224283
1776732880.278082,5.477132,4.699189,-2.222907
1776732880.336792,5.473141,4.693956,-2.221819
1776732880.388090,5.467012,4.685898,-2.220414
1776732880.430245,5.462727,4.680253,-2.219600
1776732880.488219,5.458386,4.674524,-2.218793
1776732880.534366,5.454020,4.668750,-2.217659
1776732880.581500,5.447358,4.659921,-2.216764
1776732880.625343,5.442743,4.653795,-2.216057
1776732880.689571,5.438087,4.647606,-2.215475
1776732880.726244,5.430985,4.638158,-2.215341
1776732880.789260,5.426436,4.632109,-2.215757
1776732880.830317,5.422221,4.626507,-2.215928
1776732880.899024,5.415368,4.617409,-2.216798
