time,x,y,theta
0.000000,5.000000,4.500000,0.000000
5.620412,5.032022,5.830511,0.977937
6.752111,5.101326,5.975480,1.231101
7.883107,5.169076,6.163640,1.222853
9.014456,5.237691,6.351474,1.219419
10.145257,5.306830,6.539127,1.217010
11.218099,5.376764,6.726488,1.212188
12.068409,5.449080,6.912954,1.196598
12.871926,5.522793,7.098885,1.191837
13.672520,5.597033,7.284611,1.189736
14.472810,5.671570,7.470219,1.188367
15.273054,5.746332,7.655737,1.187239
16.073290,5.821293,7.841175,1.186207
16.873520,5.896442,8.026538,1.185209
17.673745,5.971776,8.211827,1.184217
18.473957,6.047295,8.397040,1.183214
19.274146,6.123002,8.582177,1.182188
20.074246,6.198902,8.767237,1.181145
20.874308,6.274995,8.952213,1.180092
21.674355,6.351069,9.137192,1.180880
22.474270,6.425536,9.322789,1.194369
24.139574,6.333333,9.700000,1.194369
