time,xc,yc,theta_c,sx,sy
0.000000,7.704963,9.469167,-0.455588,1.000000,1.000000
0.849363,7.894515,9.394497,-0.454664,1.003707,0.984811
1.980676,8.056914,9.275084,-0.481844,1.042779,0.980565
3.112075,8.211839,9.132313,-0.495998,1.077935,0.977432
4.243225,8.360818,8.966640,-0.495485,1.107780,0.996125
5.374469,8.496133,8.786175,-0.487661,1.138761,1.008323
6.505611,8.624189,8.601415,-0.478062,1.171616,1.015358
14.909955,9.341595,7.069347,-0.446839,1.418710,1.123874
16.039974,9.484878,6.898684,-0.445655,1.449601,1.137292
17.171234,9.618747,6.717373,-0.440133,1.481601,1.150699
18.302437,9.746829,6.532726,-0.433516,1.515263,1.160486
26.292930,10.548968,4.848533,-0.340588,1.658025,1.350175
32.439366,11.322682,3.619723,-0.305207,1.658123,1.385010
33.391028,11.412028,3.428308,-0.303522,1.677419,1.390480
34.197894,11.470989,3.238102,-0.308576,1.665054,1.395226
35.006875,11.513713,3.049256,-0.317905,1.634586,1.400049
35.806939,11.560195,2.868157,-0.325155,1.601539,1.398330
36.606854,11.615718,2.703017,-0.325874,1.567321,1.380103
37.406719,11.671509,2.556688,-0.320685,1.523896,1.341631
38.206622,11.724665,2.429259,-0.309753,1.470115,1.282980
39.006592,11.774567,2.318472,-0.293086,1.407747,1.207197
39.806579,11.821529,2.220654,-0.270536,1.339520,1.119040
40.605436,11.866069,2.132552,-0.241530,1.268098,1.024647
41.404135,11.898600,2.095709,-0.192703,1.187521,0.971964
43.881707,12.000000,2.000000,0.000000,1.000000,1.000000
