time,x,y,theta
0.000000,7.883530,8.403480,-0.879364
0.834840,8.020330,8.257639,-0.782204
1.805873,8.141746,8.099641,-1.034110
2.785284,8.227814,7.919431,-1.174904
3.766001,8.300716,7.733294,-1.209237
4.746399,8.369910,7.545740,-1.221562
5.726871,8.437344,7.357546,-1.229396
6.707583,8.503442,7.168880,-1.236090
7.688506,8.568342,6.979797,-1.242266
8.669491,8.632127,6.790336,-1.248003
9.650285,8.694885,6.600531,-1.253264
10.630531,8.756712,6.410418,-1.257983
11.609767,8.817719,6.220039,-1.262088
12.587416,8.878032,6.029436,-1.265500
13.562782,8.937792,5.838655,-1.268140
14.535049,8.997155,5.647745,-1.269932
15.503291,9.056292,5.456761,-1.270801
16.466480,9.115388,5.265757,-1.270682
17.423509,9.174638,5.074796,-1.269515
18.373224,9.234247,4.883939,-1.267256
19.314462,9.294426,4.693255,-1.263874
20.246102,9.355391,4.502813,-1.259359
21.167121,9.417353,4.312687,-1.253718
22.076655,9.480520,4.122950,-1.246984
22.974060,9.545090,3.933681,-1.239208
23.858968,9.611246,3.744954,-1.230467
24.731325,9.679153,3.556845,-1.220855
25.591417,9.748955,3.369427,-1.210484
26.439867,9.820770,3.182769,-1.199476
27.277608,9.894694,2.996934,-1.187958
28.105829,9.970798,2.811980,-1.176050
28.925900,10.049125,2.627958,-1.163886
29.739289,10.129701,2.444912,-1.151558
30.547473,10.212534,2.262878,-1.139146
31.351865,10.297620,2.081891,-1.126708
32.153747,10.384948,1.901981,-1.114255
32.954235,10.474510,1.723178,-1.101770
33.754249,10.566303,1.545518,-1.089191
45.731074,12.894742,0.386797,0.040346
46.510616,13.035049,0.395861,0.069122
48.090262,13.250006,0.727144,0.069122
