time,x,y,theta
0.000000,5.000000,7.500000,0.000000
5.209336,4.934720,8.583435,-1.531944
6.340721,4.949537,8.779332,-1.718247
7.472002,4.991837,8.974658,-1.822410
8.503349,5.048109,9.166525,-1.875608
9.333160,5.111417,9.356230,-1.902457
10.137291,5.178032,9.544814,-1.914750
10.938513,5.246123,9.732874,-1.919946
11.738973,5.314757,9.920740,-1.921421
12.539249,5.383424,10.108594,-1.920805
13.339496,5.451821,10.296547,-1.918883
14.139739,5.519748,10.484670,-1.916066
14.939981,5.587061,10.673013,-1.912576
15.740219,5.653647,10.861615,-1.908527
16.540451,5.719404,11.050506,-1.903968
17.340668,5.784238,11.239715,-1.898915
18.140854,5.848053,11.429270,-1.893367
18.941003,5.910747,11.619193,-1.887285
19.741095,5.972234,11.809506,-1.880788
20.541137,6.033329,11.999934,-1.881557
21.340733,6.097637,12.189207,-1.908866
22.605559,6.333333,12.400000,-1.908866
