time,x,y,theta,v,omega
0.0000,5.0000,7.5000,0.0000,0.1250,0.1250
0.0500,5.0063,7.5000,0.0063,0.2500,0.2500
0.1000,5.0187,7.5001,0.0188,0.2500,0.3115
0.1500,5.0312,7.5003,0.0343,0.2500,0.2887
0.2000,5.0437,7.5007,0.0488,0.2500,0.2676
0.2500,5.0562,7.5014,0.0621,0.2500,0.2481
0.3000,5.0687,7.5021,0.0745,0.2500,0.2299
0.3500,5.0812,7.5031,0.0860,0.2500,0.2131
0.4000,5.0936,7.5041,0.0967,0.2500,0.1976
0.4500,5.1061,7.5053,0.1066,0.2500,0.1831
0.5000,5.1185,7.5067,0.1157,0.2500,0.1698
0.5500,5.1309,7.5081,0.1242,0.2500,0.1574
0.6000,5.1433,7.5097,0.1321,0.2500,0.1459
0.6500,5.1557,7.5113,0.1394,0.2500,0.1352
0.7000,5.1681,7.5130,0.1461,0.2500,0.1253
0.7500,5.1804,7.5149,0.1524,0.2500,0.1162
0.8000,5.1928,7.5168,0.1582,0.2500,0.1077
0.8500,5.2051,7.5187,0.1636,0.2500,0.0998
0.9000,5.2175,7.5208,0.1686,0.2500,0.0925
0.9500,5.2298,7.5229,0.1732,0.2500,0.0858
1.0000,5.2421,7.5250,0.1775,0.2500,0.0795
1.0500,5.2544,7.5272,0.1815,0.2500,0.0737
1.1000,5.2667,7.5295,0.1852,0.2500,0.0683
1.1500,5.2790,7.5318,0.1886,0.2500,0.0633
1.2000,5.2913,7.5341,0.1918,0.2500,0.0587
1.2500,5.3035,7.5365,0.1947,0.1250,-0.0023
1.2500,5.3035,7.5365,0.1947,0.2500,-0.0022
1.3000,5.3097,7.5377,0.1946,0.2500,-0.0020
1.3500,5.3219,7.5401,0.1945,0.2500,-0.0019
1.4000,5.3342,7.5426,0.1944,0.2500,-0.0017
1.4500,5.3465,7.5450,0.1943,0.2500,-0.0016
1.5000,5.3587,7.5474,0.1942,0.2500,-0.0015
1.5500,5.3710,7.5498,0.1941,0.2500,-0.0014
1.6000,5.3833,7.5522,0.1940,0.2500,-0.0013
1.6500,5.3955,7.5546,0.1940,0.2500,-0.0012
1.7000,5.4078,7.5570,0.1939,0.2500,-0.0011
1.7500,5.4201,7.5594,0.1938,0.2500,-0.0010
1.8000,5.4323,7.5618,0.1938,0.2500,-0.0009
1.8500,5.4446,7.5642,0.1937,0.2500,-0.0009
1.9000,5.4569,7.5667,0.1937,0.2500,-0.0008
1.9500,5.4691,7.5691,0.1937,0.2500,-0.0007
2.0000,5.4814,7.5715,0.1936,0.2500,-0.0007
2.0500,5.4937,7.5739,0.1936,0.2500,-0.0006
2.1000,5.5059,7.5763,0.1935,0.2500,-0.0006
2.1500,5.5182,7.5787,0.1935,0.2500,-0.0005
2.2000,5.5305,7.5811,0.1935,0.2500,-0.0005
2.2500,5.5427,7.5835,0.1935,0.2500,-0.0005
2.3000,5.5550,7.5859,0.1934,0.2500,-0.0004
2.3500,5.5673,7.5883,0.1934,0.2500,-0.0004
2.4000,5.5795,7.5907,0.1934,0.2500,-0.0004
2.4500,5.5918,7.5931,0.1934,0.1250,-0.0003
2.5000,5.6041,7.5955,0.1933,0.2500,-0.0003
2.5000,5.6041,7.5955,0.1933,0.2500,-0.0003
2.5500,5.6102,7.5967,0.1933,0.2500,-0.0003
2.6000,5.6225,7.5991,0.1933,0.2500,-0.0003
2.6500,5.6347,7.6015,0.1933,0.2500,-0.0002
2.7000,5.6470,7.6039,0.1933,0.2500,-0.0002
2.7500,5.6593,7.6063,0.1933,0.2500,-0.0002
2.8000,5.6715,7.6087,0.1933,0.2500,-0.0002
2.8500,5.6838,7.6111,0.1932,0.2500,-0.0002
2.9000,5.6961,7.6135,0.1932,0.2500,-0.0002
2.9500,5.7083,7.6159,0.1932,0.2500,-0.0001
3.0000,5.7206,7.6183,0.1932,0.2500,-0.0001
3.0500,5.7329,7.6207,0.1932,0.2500,-0.0001
3.1000,5.7451,7.6231,0.1932,0.2500,-0.0001
3.1500,5.7574,7.6255,0.1932,0.2500,-0.0001
3.2000,5.7697,7.6279,0.1932,0.2500,-0.0001
3.2500,5.7819,7.6303,0.1932,0.2500,-0.0001
3.3000,5.7942,7.6327,0.1932,0.2500,-0.0001
3.3500,5.8065,7.6351,0.1932,0.2500,-0.0001
3.4000,5.8187,7.6375,0.1932,0.2500,-0.0001
3.4500,5.8310,7.6399,0.1932,0.2500,-0.0001
3.5000,5.8433,7.6423,0.1932,0.2500,-0.0001
3.5500,5.8555,7.6447,0.1932,0.2500,-0.0001
3.6000,5.8678,7.6471,0.1932,0.2500,-0.0001
3.6500,5.8801,7.6495,0.1932,0.1250,-0.0001
3.7000,5.8923,7.6519,0.1931,0.2500,-0.0000
3.7500,5.9046,7.6543,0.1931,0.2500,-0.0000
