time,x,y,psi,v,omega
0.0000,2.0000,10.6000,-0.0000,-0.0000,-0.0000
0.4444,2.0254,10.5995,0.2667,0.1100,1.2000
0.8889,2.0864,10.6142,0.7231,0.1613,0.8541
1.3333,2.1501,10.6692,0.9367,0.2200,0.1071
1.7778,2.2065,10.7465,0.9945,0.2200,0.1531
2.2222,2.2579,10.8268,1.0388,0.2200,0.0461
2.6667,2.3055,10.9091,1.0800,0.2200,0.1395
3.1111,2.3495,10.9933,1.1226,0.2200,0.0524
3.5556,2.3899,11.0794,1.1598,0.2200,0.1148
4.0000,2.4089,11.1236,1.1853,0.0000,0.0000
4.0000,2.4089,11.1236,1.1853,-0.0000,-0.0000
4.4444,2.4269,11.1684,0.9189,0.2200,-1.1985
4.8889,2.4863,11.2462,0.4288,0.2200,-1.0071
5.3333,2.5771,11.2875,0.1031,0.2200,-0.4586
5.7778,2.6746,11.2976,-0.0550,0.2200,-0.2527
6.2222,2.7722,11.2922,-0.1363,0.2200,-0.1135
6.6667,2.8692,11.2789,-0.1753,0.2200,-0.0618
7.1111,2.9658,11.2620,-0.1853,0.2200,0.0169
7.5556,3.0623,11.2440,-0.1416,0.2200,0.1798
8.0000,3.1107,11.2371,-0.1016,0.0000,0.0000
8.0000,3.1107,11.2371,-0.1016,0.0000,0.0000
8.4444,3.1594,11.2322,-0.0926,0.2200,0.0407
8.8889,3.2567,11.2231,-0.0788,0.2200,0.0211
9.3333,3.3542,11.2154,-0.0718,0.2200,0.0105
9.7778,3.4518,11.2084,-0.0682,0.2200,0.0057
10.2222,3.5493,11.2018,-0.0662,0.2200,0.0033
10.6667,3.6469,11.1953,-0.0650,0.2200,0.0021
11.1111,3.7444,11.1889,-0.0642,0.2200,0.0015
11.5556,3.8420,11.1827,-0.0638,0.2200,0.0003
12.0000,3.8908,11.1796,-0.0637,0.0000,0.0000
12.0000,3.8908,11.1796,-0.0637,-0.0000,-0.0000
12.4444,3.9396,11.1765,-0.0616,0.2200,0.0094
12.8889,4.0372,11.1704,-0.0582,0.2200,0.0060
13.3333,4.1348,11.1647,-0.0561,0.2200,0.0034
13.7778,4.2324,11.1593,-0.0549,0.2200,0.0020
14.2222,4.3301,11.1539,-0.0542,0.2200,0.0011
14.6667,4.4277,11.1486,-0.0538,0.2200,0.0006
15.1111,4.5253,11.1433,-0.0536,0.2200,0.0003
15.5556,4.6230,11.1381,-0.0535,0.2200,0.0001
16.0000,4.6718,11.1355,-0.0535,0.0000,0.0000
16.0000,4.6718,11.1355,-0.0535,-0.0000,0.0000
16.4444,4.7206,11.1329,-0.0535,0.2200,0.0001
16.8889,4.8182,11.1276,-0.0535,0.2200,-0.0002
17.3333,4.9159,11.1224,-0.0536,0.2200,-0.0002
17.7778,5.0135,11.1172,-0.0536,0.2200,-0.0001
18.2222,5.1112,11.1119,-0.0536,0.2200,0.0000
18.6667,5.2088,11.1067,-0.0536,0.2200,0.0002
19.1111,5.3064,11.1015,-0.0535,0.2200,0.0003
19.5556,5.4041,11.0962,-0.0534,0.2200,0.0001
20.0000,5.4529,11.0936,-0.0534,0.0000,0.0000
20.0000,5.5762,11.9148,2.2285,0.0000,-0.0000
