time,xc,yc,theta_c,sx,sy
0.000000,11.991296,2.042832,-0.861203,1.000000,1.000000
8.935992,10.578992,3.095157,-0.657370,1.264235,0.999432
18.488339,9.000697,3.323754,-0.474747,1.930413,0.880831
24.733085,7.962777,3.079219,-0.416498,2.342857,0.805321
33.526139,6.086597,3.321678,-0.428679,2.536041,0.908925
38.285223,5.848918,3.875016,-0.457387,2.202876,1.117165
39.297188,5.909815,4.047346,-0.473629,2.134208,1.148830
40.277957,5.968310,4.226351,-0.488243,2.073646,1.175549
41.236343,6.023413,4.409448,-0.502166,2.018946,1.199137
57.346974,5.983595,6.007029,0.043915,1.095868,1.186538
57.952010,6.000231,5.952375,0.064600,1.088528,1.127490
59.190550,6.000000,6.000000,0.000000,1.000000,1.000000
