time,x,y,theta
0.000000,2.565768,7.874547,-1.570000
0.804639,2.566998,7.846245,-1.745128
1.605701,2.523429,7.448090,-1.648625
2.394937,2.512288,7.140727,-1.583106
3.187433,2.516320,6.880492,-1.538178
3.982087,2.528367,6.629378,-1.513343
4.778500,2.543458,6.380584,-1.508271
5.576031,2.557384,6.132521,-1.518732
6.374276,2.567369,5.884592,-1.537894
7.173136,2.572371,5.636611,-1.558552
7.972250,2.572889,5.388549,-1.575035
8.771514,2.570428,5.140469,-1.584254
9.570863,2.566840,4.892403,-1.585883
10.370262,2.563727,4.644340,-1.581774
11.169695,2.562051,4.396256,-1.574924
11.969154,2.562028,4.148138,-1.568383
12.767789,2.563230,3.899844,-1.564450
13.566504,2.564864,3.651522,-1.564080
14.365273,2.566091,3.403178,-1.566967
15.164554,2.566297,3.154897,-1.571838
15.962059,2.565218,2.906316,-1.577198
16.759829,2.562978,2.657777,-1.581441
17.558845,2.560030,2.409483,-1.583439
18.355546,2.557332,2.172554,-1.581406
18.825572,2.565768,2.041547,-1.581406
