time,xc,yc,theta_c,sx,sy
0.000000,6.966259,10.022883,-0.481653,1.000000,1.000000
0.890094,7.152110,9.930651,-0.480710,1.011217,0.998091
1.829448,7.329054,9.815710,-0.478830,1.029233,0.995133
2.900973,7.482993,9.656021,-0.475548,1.066144,0.994480
4.032281,7.625139,9.479482,-0.471657,1.112634,0.994546
5.163532,7.765340,9.301608,-0.466990,1.159818,0.993198
14.377419,9.043856,8.025292,-0.243363,1.588132,1.087475
21.108091,9.925341,7.021927,-0.158594,1.942406,1.170072
25.164484,10.480455,6.385585,-0.099784,2.142080,1.275772
26.074848,10.491995,6.219173,-0.103111,2.007816,1.270848
26.874973,10.555670,6.037200,-0.111735,1.958750,1.277159
27.678557,10.628223,5.855155,-0.120255,1.922816,1.284327
28.480317,10.699022,5.673174,-0.129251,1.884561,1.292009
29.282367,10.770042,5.491139,-0.138475,1.847419,1.300146
30.084594,10.840780,5.308966,-0.147953,1.810922,1.308743
30.886634,10.910901,5.126629,-0.157701,1.774730,1.317807
31.688788,10.980687,4.944111,-0.167673,1.739363,1.327332
32.491066,11.050122,4.761399,-0.177858,1.704881,1.337326
33.293382,11.119141,4.578489,-0.188250,1.671250,1.347794
34.094937,11.187575,4.395435,-0.198835,1.638207,1.358719
34.895154,11.252990,4.213723,-0.209292,1.600150,1.369394
35.695336,11.317047,4.035149,-0.218694,1.556452,1.378637
36.495460,11.381756,3.861065,-0.226337,1.507669,1.385435
37.295520,11.448369,3.692496,-0.231817,1.454071,1.388953
38.095519,11.517739,3.530286,-0.234876,1.395982,1.388439
46.514851,12.971551,2.456919,-0.130046,1.487467,1.536951
47.343597,12.784664,2.493479,-0.123939,1.473668,1.524569
48.191100,12.593885,2.548993,-0.120841,1.464256,1.501004
49.081574,12.407930,2.624422,-0.115769,1.449856,1.465691
50.025888,12.230466,2.714989,-0.106123,1.426574,1.420306
50.955014,12.080167,2.801771,-0.099851,1.384386,1.373017
51.779512,11.984836,2.863387,-0.119376,1.312256,1.335235
54.301813,12.000000,2.900000,0.000000,1.000000,1.000000
