time,x,y,theta,v,omega
5.0000,2.5226,4.2209,2.3736,0.2600,0.1700
5.0500,2.5133,4.2299,2.3842,0.2600,0.1580
5.1000,2.5038,4.2388,2.3940,0.2600,0.1469
5.1500,2.4943,4.2477,2.4031,0.2600,0.1365
5.2000,2.4847,4.2564,2.4116,0.0500,-0.0000
5.2500,2.4750,4.2651,2.4195,0.1000,-0.0000
5.3000,2.4652,4.2737,2.4269,0.1500,-0.0000
5.3500,2.4554,4.2822,2.4337,0.2000,-0.0000
5.3500,1.2161,4.3544,2.8770,0.2500,-0.0000
5.4000,1.2136,4.3550,2.8770,0.2600,-0.0000
5.4500,1.2088,4.3564,2.8770,0.2600,-0.0000
5.5000,1.2016,4.3583,2.8770,0.2600,-0.0000
5.5500,1.1919,4.3609,2.8770,0.0000,0.0000
5.6000,1.1799,4.3642,2.8770,0.0000,0.0000
5.6500,1.1673,4.3676,2.8770,0.0000,0.0000
5.7000,1.1548,4.3710,2.8770,0.0000,0.0000
5.7500,1.1422,4.3744,2.8770,0.0000,0.0000
