time,xc,yc,theta_c,sx,sy
0.000000,11.550358,1.786864,1.612330,1.000000,1.000000
6.854999,10.448186,2.578245,1.371732,1.059389,0.988955
7.959587,10.277626,2.708070,1.349168,0.991608,0.976730
16.385229,8.826804,3.845775,1.112603,0.802515,0.963925
17.333094,8.665289,3.962438,1.076622,0.791412,0.954095
18.269456,8.502668,4.082258,1.045211,0.790059,0.945976
19.202687,8.340387,4.204172,1.015507,0.793443,0.938791
20.137425,8.178860,4.327970,0.986249,0.799167,0.932208
21.075990,8.018226,4.453578,0.956847,0.806115,0.926098
22.019619,7.858533,4.580932,0.926991,0.813738,0.920423
22.969044,7.699791,4.709959,0.896494,0.821737,0.915188
23.924746,7.541994,4.840567,0.865216,0.829925,0.910425
24.887060,7.385125,4.972637,0.833032,0.838168,0.906187
25.856205,7.229161,5.106017,0.799814,0.846351,0.902549
35.817073,5.929012,6.062267,0.034222,0.951496,1.056079
35.898304,5.930828,6.065487,0.029259,0.956522,1.059367
37.035546,6.000000,6.000000,0.000000,1.000000,1.000000
