time,xc,yc,theta_c,sx,sy
0.000000,3.135000,7.583000,-1.570000,1.000000,1.000000
0.800096,3.163956,7.412837,-1.559515,1.001952,1.054794
1.600088,3.193582,7.241773,-1.551429,1.003910,1.107699
2.400060,3.205595,7.066409,-1.550653,1.004145,1.121272
3.200048,3.209597,6.890487,-1.550624,1.004181,1.116986
4.000038,3.210018,6.714576,-1.550429,1.004328,1.105414
4.800027,3.208805,6.538701,-1.550075,1.004542,1.091491
5.600020,3.206832,6.362835,-1.549653,1.004762,1.077482
6.400013,3.204491,6.186958,-1.549223,1.004957,1.064397
7.200004,3.201965,6.011063,-1.548817,1.005118,1.052651
7.999994,3.199340,5.835150,-1.548448,1.005243,1.042366
8.799983,3.196658,5.659221,-1.548123,1.005338,1.033524
9.599971,3.193937,5.483280,-1.547843,1.005407,1.026042
10.399959,3.191188,5.307328,-1.547605,1.005458,1.019804
11.199946,3.188415,5.131369,-1.547407,1.005493,1.014684
11.999932,3.185622,4.955405,-1.547246,1.005517,1.010557
12.799917,3.182810,4.779437,-1.547118,1.005534,1.007298
13.599901,3.179982,4.603467,-1.547018,1.005544,1.004791
14.399882,3.177147,4.427497,-1.546944,1.005551,1.002929
15.199865,3.174308,4.251525,-1.546892,1.005555,1.001606
15.999846,3.171460,4.075553,-1.546858,1.005556,1.000724
16.799824,3.168609,3.899582,-1.546838,1.005557,1.000195
17.599801,3.165757,3.723611,-1.546829,1.005557,0.999939
18.399775,3.162904,3.547641,-1.546828,1.005557,0.999886
19.199748,3.160048,3.371671,-1.546833,1.005556,0.999975
19.999716,3.157191,3.195702,-1.546841,1.005554,1.000154
20.799700,3.154272,3.019733,-1.546852,1.005560,1.000385
21.599667,3.151278,2.843770,-1.546870,1.005566,1.000632
22.399624,3.148265,2.667808,-1.546876,1.005566,1.000867
23.199564,3.145258,2.491848,-1.546881,1.005567,1.001065
23.999497,3.142263,2.315898,-1.546907,1.005570,1.001210
24.799353,3.139300,2.139962,-1.546922,1.005566,1.001294
25.599074,3.136393,1.964106,-1.547032,1.005574,1.001309
26.248877,3.134126,1.823216,-1.548663,1.001674,1.001182
26.639774,3.135000,1.750000,-1.570000,1.000000,1.000000
