time,x,y,theta,v_body,omega,vx_world,vy_world
0.000000,1.400000,10.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000
0.444444,1.449387,10.000007,0.129886,0.220000,0.584488,0.218147,0.028495
0.888889,1.547855,10.012616,0.234825,0.220000,-0.112263,0.213962,0.051188
1.333333,1.644132,10.035181,0.180178,0.220000,-0.133651,0.216438,0.039425
1.777778,1.741681,10.052462,0.157177,0.220000,0.030149,0.217288,0.034437
2.222222,1.839684,10.067456,0.165299,0.220000,0.006399,0.217001,0.036200
2.666667,1.937529,10.083176,0.179446,0.220000,0.057262,0.216467,0.039267
3.111111,2.035081,10.100224,0.192111,0.220000,-0.000267,0.215953,0.042005
3.555556,2.132347,10.118470,0.209701,0.220000,0.079421,0.215180,0.045797
4.000000,2.180465,10.128538,0.227350,-0.000000,0.000000,-0.000000,-0.000000
4.000000,2.180465,10.128538,0.227350,-0.000000,-0.000000,-0.000000,-0.000000
4.444444,2.228382,10.139458,0.116955,0.220000,-0.496777,0.218497,0.025671
4.888889,2.325493,10.150867,-0.026686,0.220000,-0.149607,0.219922,-0.005870
5.333333,2.423682,10.148097,-0.049625,0.220000,0.046383,0.219729,-0.010913
5.777778,2.521405,10.143225,-0.038291,0.220000,0.004617,0.219839,-0.008422
6.222222,2.619112,10.139481,-0.035316,0.220000,0.008771,0.219863,-0.007768
6.666667,2.716867,10.136016,-0.030639,0.220000,0.012276,0.219897,-0.006740
7.111111,2.814691,10.132990,-0.026643,0.220000,0.005708,0.219922,-0.005861
7.555556,2.912570,10.130339,-0.069500,0.220000,-0.198567,0.219469,-0.015278
8.000000,2.961351,10.126940,-0.113626,0.000000,0.000000,0.000000,-0.000000
8.000000,2.961351,10.126940,-0.113626,0.000000,-0.000000,0.000000,-0.000000
8.444444,3.009924,10.121397,-0.088460,0.220000,0.113246,0.219140,-0.019436
8.888889,3.107320,10.112759,-0.058712,0.220000,0.020623,0.219621,-0.012909
9.333333,3.204933,10.107020,-0.054028,0.220000,0.000455,0.219679,-0.011880
9.777778,3.302570,10.101739,-0.054104,0.220000,-0.000798,0.219678,-0.011897
10.222222,3.400207,10.096450,-0.054365,0.220000,-0.000379,0.219675,-0.011954
10.666667,3.497841,10.091137,-0.054511,0.220000,-0.000276,0.219673,-0.011986
11.111111,3.595475,10.085809,-0.054687,0.220000,-0.000517,0.219671,-0.012025
11.555556,3.693108,10.080464,-0.054758,0.220000,0.000197,0.219670,-0.012041
12.000000,3.741923,10.077788,-0.054714,0.000000,0.000000,0.000000,-0.000000
12.000000,3.741923,10.077788,-0.054714,-0.000000,-0.000000,-0.000000,0.000000
12.444444,3.790739,10.075115,-0.054217,0.220000,0.002237,0.219677,-0.011922
12.888889,3.888374,10.069816,-0.053701,0.220000,0.000088,0.219683,-0.011808
13.333333,3.986011,10.064567,-0.053745,0.220000,-0.000287,0.219682,-0.011818
