time,x,y,theta,v_body,omega,vx_world,vy_world
0.000000,4.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.444444,3.966667,6.000000,0.220416,-0.149999,0.991874,-0.146370,-0.032795
0.888889,3.901761,5.984894,0.663051,-0.149999,0.999982,-0.118217,-0.092328
1.333333,3.850149,5.942161,1.107490,-0.149998,0.999990,-0.067035,-0.134185
1.777778,3.835834,5.912545,1.551930,0.004824,0.999993,0.000091,0.004824
2.222222,3.835808,5.946679,1.996370,0.149998,0.999985,-0.061926,0.136619
2.666667,3.807205,6.006671,2.398211,0.149999,0.808300,-0.110427,0.101517
3.111111,3.757004,6.050698,2.652832,0.149999,0.337494,-0.132437,0.070429
3.555556,3.697162,6.080755,2.747924,0.150000,0.090419,-0.138526,0.057537
4.000000,3.666164,6.093239,2.768018,-0.000000,0.000000,0.000000,-0.000000
4.000000,3.666164,6.093239,2.768018,-0.000000,-0.000000,0.000000,-0.000000
4.444444,3.675034,6.089751,2.990069,-0.043147,0.999231,0.042653,-0.006513
4.888889,3.677996,6.089346,3.352435,0.029500,0.631417,-0.028846,-0.006174
5.333333,3.704171,6.094941,3.490441,-0.149999,-0.010390,0.140964,0.051272
5.777778,3.766882,6.117737,3.476340,-0.150000,-0.053066,0.141674,0.049280
6.222222,3.829846,6.139638,3.468670,-0.150000,0.018551,0.142048,0.048191
6.666667,3.892978,6.161057,3.469434,-0.150000,-0.015114,0.142011,0.048300
7.111111,3.956094,6.182523,3.470788,-0.150000,0.021205,0.141945,0.048492
7.555556,4.019180,6.204075,3.471265,-0.150000,-0.019059,0.141922,0.048560
8.000000,4.050718,6.214866,3.467029,0.000000,0.000000,-0.000000,-0.000000
8.000000,5.058427,6.560959,3.473210,-0.000000,0.000000,0.000000,0.000000
8.444444,5.089937,6.571809,3.251000,-0.149966,-0.999944,0.149069,0.016375
8.888889,5.156197,6.579087,2.833507,-0.149998,-0.878777,0.142935,-0.045485
9.333333,5.219725,6.558872,2.504576,-0.149998,-0.601410,0.120580,-0.089219
9.777778,5.273327,6.519214,2.281749,-0.149998,-0.401313,0.097882,-0.113659
10.222222,5.316851,6.468682,2.136082,-0.149998,-0.254189,0.080347,-0.126664
10.666667,5.352591,6.412354,2.046948,-0.149998,-0.146916,0.068753,-0.133313
11.111111,5.383184,6.353058,1.999123,-0.149998,-0.068294,0.062302,-0.136448
11.555556,5.410910,6.292361,1.980237,-0.149998,-0.016693,0.059714,-0.137600
12.000000,5.424190,6.261769,1.976528,-0.000000,0.000000,0.000000,-0.000000
12.000000,5.880181,6.242345,3.523791,-0.000000,-0.000000,0.000000,0.000000
12.444444,5.910155,6.254393,3.303412,-0.145372,-0.991708,0.143473,0.023421
12.888889,5.974934,6.264968,2.892326,-0.149991,-0.858179,0.145355,-0.037002
13.333333,6.039539,6.248522,2.591877,-0.149999,-0.493842,0.127900,-0.078366
13.777778,6.096384,6.213692,2.419177,-0.149999,-0.283306,0.112531,-0.099179
14.222222,6.146400,6.169611,2.321987,-0.149999,-0.154050,0.102376,-0.109631
14.666667,6.191906,6.120881,2.271499,-0.149999,-0.073146,0.096713,-0.114658
15.111111,6.234899,6.069913,2.247266,-0.149999,-0.035899,0.093906,-0.116967
15.555556,6.276646,6.017916,2.238337,-0.149999,-0.004285,0.092858,-0.117801
16.000000,6.297285,5.991735,2.237384,0.000000,0.000000,-0.000000,0.000000
16.000000,6.297285,5.991735,2.237384,0.000000,-0.000000,-0.000000,0.000000
16.444444,6.317825,5.965627,2.459605,-0.149467,0.999994,0.116034,-0.094215
16.888889,6.369142,5.923961,2.904046,-0.147936,0.999987,0.143782,-0.034812
17.333333,6.433498,5.908380,3.270876,-0.150000,0.650747,0.148748,0.019338
17.777778,6.499608,5.916975,3.473154,-0.150000,0.259504,0.141830,0.048828
18.222222,6.562643,5.938676,3.556495,-0.150000,0.115534,0.137273,0.060465
18.666667,6.623653,5.965550,3.584677,-0.150000,0.011283,0.135515,0.064309
19.111111,6.683882,5.994131,3.594554,-0.150000,0.033165,0.134873,0.065644
19.555556,6.743825,6.023307,3.597353,-0.150000,-0.020570,0.134689,0.066022
