time,x,y,vx,vy,speed
35.555556,10.822538,3.243333,-0.149999,-0.149998,0.212130
36.000000,10.789155,3.209988,-0.000000,-0.000000,0.000000
36.000000,10.254342,2.677909,-0.000000,0.000000,0.000000
36.444444,10.249460,2.711415,-0.019934,0.149996,0.151314
36.888889,10.235290,2.778666,-0.035886,0.149961,0.154195
37.333333,10.214105,2.845763,-0.051885,0.149997,0.158717
37.777778,10.185889,2.912715,-0.067886,0.149965,0.164615
38.222222,10.150626,2.979527,-0.083930,0.149997,0.171881
38.666667,10.108300,3.046208,-0.099979,0.149969,0.180240
39.111111,10.058897,3.112765,-0.116067,0.149997,0.189659
39.555556,10.017525,3.157544,-0.066546,0.050811,0.083727
40.000000,10.002677,3.168950,-0.000000,-0.000000,0.000000
40.000000,10.002677,3.168950,0.000000,-0.000000,0.000000
40.444444,9.969606,3.202281,-0.148773,0.149999,0.211265
40.888889,9.903346,3.268936,-0.149209,0.149999,0.211573
41.333333,9.836826,3.335594,-0.149996,0.149999,0.212129
41.777778,9.770086,3.402238,-0.149999,0.149998,0.212130
42.222222,9.703180,3.467801,-0.150000,0.145367,0.208881
42.666667,9.636202,3.531011,-0.150000,0.139518,0.204854
43.111111,9.569263,3.591980,-0.150000,0.135238,0.201963
43.555556,9.502438,3.652467,-0.150000,0.137180,0.203269
44.000000,9.469083,3.682944,-0.000000,0.000000,0.000000
44.000000,8.933146,4.031168,-0.000000,0.000000,0.000000
44.444444,8.899810,4.060242,-0.149999,0.130837,0.199043
44.888889,8.833133,4.118106,-0.149999,0.129569,0.198211
45.333333,8.766455,4.175531,-0.149999,0.128862,0.197750
45.777778,8.699778,4.233058,-0.149999,0.130029,0.198513
46.222222,8.633102,4.290957,-0.149999,0.130530,0.198841
46.666667,8.566428,4.349439,-0.149999,0.132652,0.200241
47.111111,8.499755,4.408785,-0.149999,0.134413,0.201412
47.555556,8.433086,4.469664,-0.149999,0.139550,0.204875
48.000000,8.399752,4.500675,0.000000,-0.000000,0.000000
48.000000,7.888608,5.034006,-0.000000,0.000000,0.000000
48.444444,7.855225,5.022750,-0.149999,-0.050574,0.158295
48.888889,7.788342,4.999258,-0.149999,-0.054807,0.159698
49.333333,7.721424,4.973709,-0.149998,-0.059778,0.161471
49.777778,7.654464,4.945821,-0.149999,-0.065268,0.163584
50.222222,7.587452,4.915260,-0.149997,-0.071738,0.166269
50.666667,7.520378,4.881623,-0.149999,-0.079025,0.169543
51.111111,7.453227,4.844421,-0.149994,-0.087674,0.173738
51.555556,7.386200,4.797802,-0.149999,-0.121590,0.193090
52.000000,7.352810,4.770764,0.000000,0.000000,0.000000
52.000000,6.311172,3.701237,-0.000000,-0.000000,0.000000
52.444444,6.285979,3.734394,-0.111493,0.149999,0.186897
52.888889,6.235929,3.800293,-0.105619,0.149999,0.183453
53.333333,6.223973,3.866485,0.062243,0.149999,0.162401
