time,x,y,theta,v_body,omega,vx_world,vy_world
0.000000,4.000000,4.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
0.444444,3.966667,4.000000,-0.147635,-0.149999,-0.664356,-0.148367,0.022065
0.888889,3.924759,4.005822,-0.377445,-0.040232,-0.369791,-0.037400,0.014827
1.333333,3.947132,3.996542,-0.592213,0.149967,-0.596665,0.124429,-0.083711
1.777778,4.002884,3.959833,-0.906279,0.149999,-0.816632,0.092501,-0.118081
2.222222,4.044801,3.907504,-1.185835,0.149998,-0.441369,0.056328,-0.139020
2.666667,4.071167,3.845649,-1.326054,0.149999,-0.189614,0.036346,-0.145529
3.111111,4.088858,3.780848,-1.383796,0.149998,-0.070226,0.027887,-0.147383
3.555556,4.102745,3.715197,-1.408872,0.149998,-0.042618,0.024182,-0.148036
4.000000,4.108462,3.682262,-1.418343,0.000000,0.000000,0.000000,-0.000000
4.000000,4.108462,3.682262,-1.418343,0.000000,-0.000000,0.000000,-0.000000
4.444444,4.103452,3.715250,-1.196121,-0.150000,0.999998,-0.054895,0.139594
4.888889,4.096230,3.733731,-0.751677,0.060979,0.999998,0.044548,-0.041640
5.333333,4.130493,3.701711,-0.307236,0.150000,0.999991,0.142976,-0.045364
5.777778,4.193982,3.681547,0.068858,0.150000,0.692432,0.149644,0.010321
6.222222,4.260492,3.686134,0.284558,0.150000,0.278215,0.143968,0.042110
6.666667,4.324478,3.704849,0.359375,0.150000,0.058462,0.140417,0.052753
7.111111,4.386886,3.728295,0.378709,0.150000,0.028543,0.139371,0.055458
7.555556,4.448829,3.752944,0.383231,0.150000,-0.008195,0.139119,0.056088
8.000000,4.479744,3.765408,0.381410,0.000000,0.000000,0.000000,0.000000
8.000000,5.468497,4.165603,0.384472,-0.000000,0.000000,-0.000000,-0.000000
8.444444,5.499392,4.178103,0.162309,0.149973,-0.999732,0.148002,0.024235
8.888889,5.564382,4.188745,-0.228994,0.146376,-0.761131,0.142555,-0.033227
9.333333,5.628522,4.173795,-0.505157,0.149995,-0.481602,0.131260,-0.072589
9.777778,5.686854,4.141532,-0.682337,0.149997,-0.315709,0.116413,-0.094590
10.222222,5.738584,4.099490,-0.797440,0.149997,-0.202256,0.104779,-0.107334
10.666667,5.785144,4.051778,-0.870279,0.149997,-0.125517,0.096690,-0.114674
11.111111,5.828113,4.000798,-0.911757,0.149998,-0.061134,0.091852,-0.118585
11.555556,5.868934,3.948076,-0.930671,0.149998,-0.023979,0.089593,-0.120301
12.000000,5.888843,3.921338,-0.935999,-0.000000,0.000000,-0.000000,0.000000
12.000000,6.365103,3.959276,0.428325,-0.000000,0.000000,-0.000000,-0.000000
12.444444,6.395425,3.973121,0.206106,0.149999,-0.999984,0.146824,0.030697
12.888889,6.460680,3.986764,-0.223924,0.149999,-0.935153,0.146255,-0.033309
13.333333,6.525681,3.971960,-0.525636,0.149999,-0.422552,0.129750,-0.075264
13.777778,6.583348,3.938510,-0.664954,0.149999,-0.204380,0.118041,-0.092553
14.222222,6.635810,3.897374,-0.729306,0.149999,-0.085204,0.111845,-0.099953
14.666667,6.685517,3.852949,-0.759955,0.149999,-0.052717,0.108730,-0.103333
15.111111,6.733839,3.807021,-0.774151,0.149999,-0.011165,0.107252,-0.104866
15.555556,6.781504,3.760410,-0.779790,0.149999,-0.014207,0.106659,-0.105469
16.000000,6.805205,3.736971,-0.782947,0.000000,0.000000,0.000000,-0.000000
16.000000,6.805205,3.736971,-0.782947,-0.000000,0.000000,-0.000000,0.000000
16.444444,6.828833,3.713458,-0.560725,0.149999,0.999997,0.127030,-0.079770
16.888889,6.885286,3.678003,-0.116287,0.150000,0.999976,0.148987,-0.017404
17.333333,6.951498,3.670267,0.236311,0.150000,0.586716,0.145831,0.035118
17.777778,7.016311,3.685875,0.404324,0.150000,0.169340,0.137905,0.059009
18.222222,7.077603,3.712102,0.458990,0.150000,0.076656,0.134475,0.066456
18.666667,7.137370,3.741638,0.478254,0.150000,0.010035,0.133170,0.069034
19.111111,7.196556,3.772320,0.483929,0.150000,0.015500,0.132776,0.069789
19.555556,7.255568,3.803337,0.485558,0.150000,-0.008169,0.132662,0.070005
20.000000,7.285049,3.818894,0.483742,0.000000,0.000000,0.000000,0.000000
20.000000,7.285049,3.818894,0.483742,0.000000,0.000000,0.000000,0.000000
20.444444,7.314557,3.834397,0.485060,0.150000,0.005928,0.132697,0.069939
20.888889,7.373534,3.865481,0.486464,0.150000,0.000393,0.132598,0.070125
21.333333,7.432466,3.896648,0.486594,0.150000,0.000192,0.132589,0.070143
21.777778,7.491395,3.927823,0.486643,0.150000,0.000028,0.132586,0.070149
22.222222,7.550322,3.959000,0.486662,0.150000,0.000057,0.132585,0.070152
22.666667,7.609249,3.990179,0.486669,0.150000,-0.000024,0.132584,0.070153
23.111111,7.668175,4.021358,0.486671,0.150000,0.000033,0.132584,0.070153
23.555556,7.727102,4.052537,0.486671,0.150000,-0.000032,0.132584,0.070153
24.000000,7.756565,4.068126,0.486664,0.000000,0.000000,0.000000,0.000000
24.000000,7.756565,4.068126,0.486664,-0.000000,0.000000,-0.000000,-0.000000
24.444444,7.786028,4.083716,0.486509,0.150000,-0.000696,0.132595,0.070131
24.888889,7.844960,4.114885,0.486286,0.150000,-0.000311,0.132611,0.070102
25.333333,7.903898,4.146042,0.486193,0.150000,-0.000107,0.132617,0.070089
25.777778,7.962839,4.177193,0.486162,0.150000,-0.000033,0.132620,0.070085
26.222222,8.021781,4.208342,0.486153,0.150000,-0.000009,0.132620,0.070084
26.666667,8.080724,4.239490,0.486150,0.150000,-0.000003,0.132620,0.070084
27.111111,8.139667,4.270638,0.486148,0.150000,-0.000003,0.132621,0.070083
27.555556,8.198609,4.301787,0.486147,0.150000,-0.000001,0.132621,0.070083
28.000000,8.228080,4.317361,0.486147,0.000000,0.000000,0.000000,0.000000
28.000000,8.228080,4.317361,0.486147,0.000000,-0.000000,0.000000,0.000000
28.444444,8.257552,4.332935,0.485988,0.150000,-0.000717,0.132632,0.070062
28.888889,8.316499,4.364074,0.485757,0.150000,-0.000322,0.132648,0.070031
29.333333,8.375454,4.395199,0.485660,0.150000,-0.000115,0.132655,0.070019
29.777778,8.434412,4.426318,0.485626,0.150000,-0.000038,0.132657,0.070014
30.222222,8.493371,4.457436,0.485615,0.150000,-0.000012,0.132658,0.070013
30.666667,8.552330,4.488552,0.485611,0.150000,-0.000004,0.132658,0.070012
31.111111,8.611289,4.519669,0.485609,0.150000,-0.000004,0.132658,0.070012
31.555556,8.670249,4.550786,0.485608,0.150000,-0.000001,0.132658,0.070012
32.000000,8.699729,4.566344,0.485608,0.000000,0.000000,0.000000,0.000000
32.000000,8.699729,4.566344,0.485608,-0.000000,-0.000000,-0.000000,-0.000000
32.444444,8.729208,4.581902,0.485448,0.150000,-0.000720,0.132670,0.069991
32.888889,8.788173,4.613009,0.485214,0.150000,-0.000333,0.132686,0.069959
33.333333,8.847144,4.644102,0.485113,0.150000,-0.000124,0.132693,0.069946
33.777778,8.906119,4.675189,0.485076,0.150000,-0.000043,0.132696,0.069941
34.222222,8.965095,4.706274,0.485063,0.150000,-0.000014,0.132697,0.069939
34.666667,9.024071,4.737358,0.485059,0.150000,-0.000006,0.132697,0.069939
35.111111,9.083048,4.768442,0.485056,0.150000,-0.000004,0.132697,0.069939
35.555556,9.142025,4.799526,0.485055,0.150000,-0.000002,0.132697,0.069938
36.000000,9.171513,4.815068,0.485055,0.000000,0.000000,0.000000,0.000000
36.000000,10.453611,4.929772,0.549595,0.000000,0.000000,0.000000,0.000000
36.444444,10.481539,4.946879,0.379532,0.147378,-0.765283,0.136891,0.054602
36.888889,10.542916,4.971385,-0.012751,0.149999,-0.999989,0.149987,-0.001913
37.333333,10.566147,4.971132,-0.457191,-0.046916,-0.999990,-0.042098,0.020710
37.777778,10.526811,4.990489,-0.901629,-0.149999,-0.999981,-0.093049,0.117650
38.222222,10.485397,5.042923,-1.315428,-0.149999,-0.862116,-0.037890,0.145135
38.666667,10.468553,5.107498,-1.592192,-0.150000,-0.383321,0.003209,0.149965
39.111111,10.469983,5.174172,-1.709650,-0.150000,-0.145240,0.020761,0.148556
39.555556,10.479214,5.240206,-1.748593,-0.150000,-0.030004,0.026529,0.147635
